sentence1	sentence2	label
A young man is performing a bicycle jump on a ramp.	A BMX biker	1
The little girl wearing a black swimsuit is playing on a swing.	The little girl is near a swingswet.	0
A young person is coloring and drawing on the sidewalk with pink chalk.	The boy is playing outside with his mother.	0
Two guys sit on opposite sides of a strange billboard.	Two toddlers are sitting on the sides of a billboard.	1
A woman looking through what appears to be a telescope.	A woman standing next to her telescope inside.	1
The red car has the number seven on the side in a white circle.	The color of the car looks like a candy cane.	1
There is a young girl in jeans and a striped shirt standing on a tree branch.	The girl is outside playing on a tree.	1
Some cars and many tents are set up at the foot of a mountain.	The campers have established their camp.	1
A monk walks down a city street.	A person striding next to a road on a sunny day.	1
A group of people at a 4th of july celebration, with one man standing on a stage with american flag colored decorations around him.	The group are blowing up fireworks.	1
Theses people is taking a picture of a pink pig lying on the ground.	The people are throwing a birthday party.	1
A young man is standing on a pitcher's mound about to throw a pitch.	The man is running to the house.	0
People playing musical instruments in a building.	The people are dancing in the building.	1
A busy street with two men holding blue bags.	A busy street with two men holding blue bags and a mime performing nearby.	1
A shirtless man in blue holding up a large blue rod and looking at the camera.	the man wore a three piece suit	0
A woman with a red purse and a dark colored coat is walking along a city street while talking on a cellphone.	A person is in a conversation while going somewhere.	0
Two women play catch in a yard.	Two women are playing catch.	0
A man is holding yarn or string.	A man holding yarn.	0
An elderly man in a plaid shirt and jeans empties a coffee cup into a trash bin.	A man wearing a black suit is reading a book whilst riding a subway train.	0
Two children bury a third in the sand.	The children are happy.	0
People up form their seats with two TVs hanging up displaying a cruse ship	Cruise ships are small	1
A child is leaping from one bed to another in the same room.	The child is relaxing on the sofa.	0
Numerous amounts of buildings surrounding tourists.	The tourists are in a rural area.	0
A man wearing a helmet is riding his bike down rocky terrain.	a man is chasing after a deer	1
A group of people sit on benches at a park outside a building.	A women sits on a bench by herself.	1
A group of children in a church basement play maracas and tambourines.	Some children are playing in the park.	0
A very young boy is sitting on his preschool type bicycle under an outdoor table.	A boy sits on his bicycle under a picnic table.	1
Brown horse standing in the background while man in a white cowboy hat and blue long-sleeve shirt is walking off.	A horse is near a man.	1
A man who is partly bald with sunglasses on, a black sweater and jeans, has a shovel and is shoveling the sidewalk and some stairs while a golden retriever watches him.	The man is cleaning the front yard of his house.	1
A grandfather, father and grandson gather in the family kitchen for a birthday celebration.	A family celebrates.	0
Children interact with a young bovine.	The kids play with the pig in the mud.	1
During calf roping a cowboy calls off his horse.	Cowboy falling off horse.	1
five Indian boys play cricket with a bridge in the background.	Some boys play a game in a city.	0
Baby looking at the leaves on a branch of a tree.	A baby is looking at birds in a tree.	1
a woman with dark hair in bending, open mouthed, towards the back of a dark headed toddler's head.	A woman bending towards the back of a toddler's head.	0
A girl on someone's back is laughing.	The two men are fishing.	0
A girl in a colorful dress is tossing sand from her hands while walking a sandy beach with a grass covered dune behind her.	A woman is walking down the beach to take some time to herself, and contemplate.	1
A man jumps over another man doing a back flip.	Two men are jumping.	1
The dog is chasing the other dog carrying a stick in its mouth.	The two dogs are sitting down.	0
A dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack.	They are sleeping in a chair.	0
A man walking by a stop sign.	A man stops by a sign	0
Girl in pink bathing suit with right arm in air behind a seagull on the beach near the water.	A female is at the ocean.	1
A man is gathering hay on a horse drawn wagon.	Three horses are pulling a wagon covered in hay	1
A group of sailors in blue uniforms with white hats are holding an anchor next to a yellow ship.	Their hats are crooked	0
Children in colorful clothing are walking to school.	Children are walking.	0
Newlyweds gaze off into the distance.	Newlyweds look into the distance.	0
colorful people and a dog	A dog is coloring people drawings.	0
A group of men, some with musical instruments, sit in chairs around the perimeter of a room.	A group of men are sitting around.	1
A large group of what appear to be Indian women and children stand for a photo outside of a building.	A large group of Indian women and children stand outside of their town hall.	0
A young toddler plays with his plastic toys on the sidewalk, while a woman with a shopping bag leans against a green metal bar.	A toddler is playing with small plastic cars.	0
A football player in green tackles a football player in white.	Two player have football	1
A snowboarder is doing a flip over a mound of snow.	A man is riding his snowboard over a mound of snow.	1
A man and two horses.	A man with his two horses.	1
A Jewish family joins for dinner on a sunday to worship.	Some people have met for dinner.	0
A young couple consults a book while sitting on a rock in the ruins of the Roman forum.	Some people are alone at some ruins.	0
A statue of an angle with a large disk and a man with a yellow coat and trashcan in the background.	A man is wearing a yellow coat.	0
Five people standing under a tent-like structure celebrating the 25th Annual Longboard Classic.	There are two people.	0
A woman wearing a pink hat is looking at a pink car with the truck open.	The woman is wearing clothes.	1
While sun is setting, boy is blowing bubbles by rocks new lake or ocean.	The sun is rising and a girl is eating ice cream by the bench at the beach.	0
A person is sleeping on a bench on the sidewalk, across the street from a bus stop.	The person is homeless.	0
Number 21 slides into second base as number 4 runs to first base.	The numbers are both trying to win.	0
Two young girls reading, while another young child looks on.	Two young girls reads to get job	0
A beige and white dog is running quickly across the grass.	A dog runs away from its home and heads for a park	0
An overweight man, wearing a blue and white soccer uniform, is playing soccer and there is a red circle drawn on the grass near where he is standing.	A man is playing soccer in the gymnasium.	1
A man yawns at a table with two companions.	The men are all inside	1
Two ladies uniting, while one of the ladies waves an umbrella.	The two women are chatting outside.	1
A chubby woman is holding an ice cream cone in front of a painting of a cow.	There is a woman with ice cream.	0
Three people walking down an alley at night.	Three people wre walking in the sunlight.	0
A chef in white stands between two cuts of lamb at a gyro takeout window.	A chef prepares to serve a gyro.	0
Two indian men are dancing in suits with an indian woman in a colorful dress behind them by a brick wall.	Two couples are dancing outside.	1
A tan dog splashing in water on the bank of a pond or river.	The dog is laying on the bed	0
A man with a mustache is taking a bubble bath in a bathtub and he is covered in bubbles.	There is no water.	0
A girl is playing with toys inside of a tub of water.	A girl is taking a bath.	1
A man with a goatee leaning against a white van.	A man poses in front of a white van.	0
3 women are playing beach volleyball, with one about to spike, one about to block, and the other looking on.	They are getting ready to serve the volleyball.	1
The young man smiles as he is officially recorded at being buried at sea.	A man is steering a wagon.	0
Two men wearing caps and yellow raincoats on a roof working.	Two people are wearing caps and yellow raincoats on a roof.	0
An elderly couple walk hand in hand on a beautiful day together near a busy street.	A man and a woman walk hand in hand on a sunny day.	1
Two baby are playing on train.	Two infants play as their mothers chat.	0
A taxi driver rests one of his hands on his forehead and another on the head of the passenger seat.	Taxi driver looking over his shoulder to go in reverse	1
A woman wearing black and pink and large, feathered hat rides a bike in a parade.	A woman is wearing black.	0
Two blond woman, one with sunglasses on her head, the other holding a hot pink cellphone.	the women are fighting over the last apple	0
An artist drawing his ideal designs while relaxing in the great outdoors with a forest in the background.	The artist is in his studio.	0
A child in all pink is posing nearby a stroller with buildings in the distance.	A child is posing for a picture near a stroller.	0
A young girl with glasses sits and holds two American flags.	A child with poor vision holds two objects.	1
A guy in a blue shirt walks down a busy sidewalk.	A man is on a crowded city street	1
A woman weaves the cloth of her native culture.	The woman is using threads or yarns.	1
A man and a woman wearing black wool coats.	Some people are wearing black peacoats.	1
Man with a cigarette in his mouth bent over talking to an old women in a pink cap.	A man is smoking a cigarette.	0
A little boy in a black and red striped shirt walks down a grassy hill.	The boy is walking his dog down a grassy hill.	1
A girl reaches up to kiss a cat, which is sitting on the counter.	A girl is kissing her cat in the kitchen.	1
Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.	The horse is running fast.	1
Two dogs shaking off water droplets on a beach.	Two dogs have decided to come in after a day in the water	0
A baby in a blue outfit, wrapped in a blanket, is sucking on her pacifier while laying down.	A baby is calmed down by her pacifier.	0
A young man with a shaved head and glasses is sitting at a kitchen table using a computer.	man checks stock quotes	0
Two cooks in the kitchen cooking.	Three cooks in the kitchen cooking.	0
A man in a suit is observing an item through a window.	Nobody is observing	0
A motorcyclist is driving down a road on their motorbike.	The person is taking the motorcycle out for a ride because the weather is nice.	0
Three people, all wearing peasant day outfits and a man bowing to the lady in the red dress.	People are dressed in Victorian attire.	1
Two ladies in an art gallery talking.	Two men run across the hallway.	0
A young lady with a peach shirt and a white pearl bracelet is handing back some cash to a little boy.	The young lady has a skirt on.	1
A man paints on an easel as people walk by.	A man is drawing.	0
Two men stop to talk near a sign outside.	Two men are having a conversation.	0
A young boy dressed in black and green is laying down in a tent outside with items surrounding him.	A boy lays down in front of the tent he put up	1
A dark-colored dog walking across snow with something in its mouth.	A black dog, with a glove in his mouth, crosses the snow toward his young master, who dropped the glove.	0
A man with a ponytail and tan tank top sitting on a couch counting on his fingers.	A bald man counts his fingers	1
A man and woman are birdwatching.	One person is looking out the window.	0
A high class woman kissing a man.	A woman and man are kissing.	0
A construction worker is on climbing on top of a building.	Nobody is climbing.	0
A girl holding a bag walks down the street in front of the chief justice's office.	A girl walking to the Chief Justice's Office with legal papers.	1
A woman stands on a bridge with a crowd behind her.	A woman is performing on a stage	0
